ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
78_Enumerate_Alternative_Full_3_DEFAULT_5812_Un-2-doublev-9,0.09,0.02
83_Enumerate_Alternative_Full_2_DEFAULT_4448_Un-2-doublev-9,0.09,0.02
98_Enumerate_Alternative_Full_2_DEFAULT_32598_2-doublev-15,0.09,0.03
78_Enumerate_Alternative_Full_3_DEFAULT_5812_2-doublev-18,0.09,0.09
111_Enumerate_Alternative_Full_3_DEFAULT_21083_2-doublev-21,0.09,0.02
120_Enumerate_Alternative_Full_3_DEFAULT_6602_2-doublev-21,0.09,0.09
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-doublev-24,0.09,0.01
111_Enumerate_Alternative_Full_3_DEFAULT_21083_2-doublev-24,0.09,0.09
88_Enumerate_Alternative_Full_1_DEFAULT_2212_2-doublev-9,0.09,0.02
58_Enumerate_Alternative_Full_1_DEFAULT_26985_2-doublev-12,0.09,0.02
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-doublev-12,0.09,0.05
92_Enumerate_Alternative_Full_2_DEFAULT_2517_2-doublev-12,0.09,0.01
107_Enumerate_Alternative_Full_2_DEFAULT_12158_Un-2-doublev-9,0.1,0.01
118_Enumerate_Alternative_Full_1_DEFAULT_2753_Un-2-doublev-9,0.1,0.01
22_Enumerate_Alternative_Full_1_DEFAULT_16849_Un-2-doublev-9,0.1,0
36_Enumerate_Alternative_Full_3_DEFAULT_20418_Un-2-doublev-9,0.1,0.01
52_Enumerate_Alternative_Full_1_DEFAULT_759_Un-2-doublev-9,0.1,0.02
81_Enumerate_Alternative_Full_3_DEFAULT_2231_Un-2-doublev-9,0.1,0.03
82_Enumerate_Alternative_Full_1_DEFAULT_26645_Un-2-doublev-9,0.1,0.01
42_Enumerate_Alternative_Full_3_DEFAULT_3023_2-doublev-18,0.1,0.03
89_Enumerate_Alternative_Full_2_DEFAULT_9472_2-doublev-21,0.1,0.06
12_Enumerate_Alternative_Full_3_DEFAULT_31928_2-doublev-24,0.1,0.02
8_Enumerate_Alternative_Full_2_DEFAULT_26796_2-doublev-24,0.1,1.15
112_Enumerate_Alternative_Full_1_DEFAULT_16567_2-doublev-12,0.1,0.04
78_Enumerate_Alternative_Full_3_DEFAULT_5812_2-doublev-12,0.1,0.01
89_Enumerate_Alternative_Full_2_DEFAULT_9472_2-doublev-12,0.1,0.01
94_Enumerate_Alternative_Full_1_DEFAULT_13727_2-doublev-12,0.1,0.03
106_Enumerate_Alternative_Full_1_DEFAULT_8543_Un-2-doublev-9,0.11,0
21_Enumerate_Alternative_Full_3_DEFAULT_717_Un-2-doublev-9,0.11,0.03
95_Enumerate_Alternative_Full_2_DEFAULT_15928_Un-2-doublev-9,0.11,0.03
110_Enumerate_Alternative_Full_2_DEFAULT_27416_Un-2-doublev-12,0.11,0.06
112_Enumerate_Alternative_Full_1_DEFAULT_16567_Un-2-doublev-12,0.11,0.34
12_Enumerate_Alternative_Full_3_DEFAULT_31928_Un-2-doublev-12,0.11,0.03
32_Enumerate_Alternative_Full_2_DEFAULT_29417_2-doublev-15,0.11,0.22
