ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
97_Enumerate_Alternative_Full_1_DEFAULT_32033_2-double-8,0,0.04
98_Enumerate_Alternative_Full_2_DEFAULT_32598_2-double-8,0,0
9_Enumerate_Alternative_Full_3_DEFAULT_25434_2-double-8,0,0
22_Enumerate_Alternative_Full_1_DEFAULT_16849_Un-2-double-8,0.01,0.1
2_Enumerate_Alternative_Full_2_DEFAULT_4634_Un-2-double-8,0.01,0.03
41_Enumerate_Alternative_Full_2_DEFAULT_69_Un-2-double-8,0.01,0.03
46_Enumerate_Alternative_Full_1_DEFAULT_10222_Un-2-double-8,0.01,0
48_Enumerate_Alternative_Full_3_DEFAULT_29764_Un-2-double-8,0.01,0.02
55_Enumerate_Alternative_Full_1_DEFAULT_2905_Un-2-double-8,0.01,0.03
65_Enumerate_Alternative_Full_2_DEFAULT_26740_Un-2-double-8,0.01,0.03
67_Enumerate_Alternative_Full_1_DEFAULT_17876_Un-2-double-8,0.01,0
81_Enumerate_Alternative_Full_3_DEFAULT_2231_Un-2-double-8,0.01,0.03
98_Enumerate_Alternative_Full_2_DEFAULT_32598_Un-2-double-8,0.01,0.02
100_Enumerate_Alternative_Full_1_DEFAULT_30414_2-double-10,0.01,0.02
104_Enumerate_Alternative_Full_2_DEFAULT_22564_2-double-10,0.01,0.04
106_Enumerate_Alternative_Full_1_DEFAULT_8543_2-double-10,0.01,0.06
113_Enumerate_Alternative_Full_2_DEFAULT_70_2-double-10,0.01,0
116_Enumerate_Alternative_Full_2_DEFAULT_25944_2-double-10,0.01,0.04
21_Enumerate_Alternative_Full_3_DEFAULT_717_2-double-10,0.01,0.03
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-double-10,0.01,0.03
3_Enumerate_Alternative_Full_3_DEFAULT_16837_2-double-10,0.01,0.06
46_Enumerate_Alternative_Full_1_DEFAULT_10222_2-double-10,0.01,0.02
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-double-10,0.01,0.02
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-double-10,0.01,0.03
96_Enumerate_Alternative_Full_3_DEFAULT_18316_2-double-10,0.01,0.01
21_Enumerate_Alternative_Full_3_DEFAULT_717_2-double-12,0.01,0.03
77_Enumerate_Alternative_Full_2_DEFAULT_12399_2-double-12,0.01,0.03
89_Enumerate_Alternative_Full_2_DEFAULT_9472_2-double-12,0.01,0.12
8_Enumerate_Alternative_Full_2_DEFAULT_26796_2-double-12,0.01,0.15
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-double-14,0.01,0.2
66_Enumerate_Alternative_Full_3_DEFAULT_23583_2-double-14,0.01,0.37
48_Enumerate_Alternative_Full_3_DEFAULT_29764_2-double-6,0.01,0
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-double-6,0.01,0
65_Enumerate_Alternative_Full_2_DEFAULT_26740_2-double-6,0.01,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-double-8,0.01,0
107_Enumerate_Alternative_Full_2_DEFAULT_12158_2-double-8,0.01,0
10_Enumerate_Alternative_Full_1_DEFAULT_8598_2-double-8,0.01,0
15_Enumerate_Alternative_Full_3_DEFAULT_1743_2-double-8,0.01,0
